BeIdentificatie,Sbi2008ActueelGecoordineerd,GkSbsGecoordineerd
10000046,2511,5
10000232,2910,8
10000364,33121,7
10001093,2561,4
10001425,2593,6
10001441,2511,5
10001484,2822,6
10001824,2830,4
10002073,2712,4
10002588,33123,4
10002642,2512,4
10002839,2829,4
10002855,2822,5
10002901,2511,5
10003304,2550,7
10003401,2561,4
10003452,2829,4
10003509,2599,4
10004009,2550,4
10004114,33123,4
10004424,2849,4
10004440,2451,4
10004556,2599,5
10004599,2899,4
10004971,3092,5
10005188,2511,5
10005501,2511,7
10005544,33123,4
10005617,2830,5
10005625,2511,5
10005765,2822,4
10005889,2829,5
10005919,33121,4
10005986,29201,4
10006028,33123,5
10006087,2593,5
10006303,2572,4
10006311,2452,4
10006427,2511,4
10006435,31012,4
10006621,2829,5
10006702,29201,5
10006982,2511,4
10007342,2712,7
10007407,32502,4
10007423,2511,6
10007458,2511,5
10007849,2829,5
10008233,2511,5
10008810,2511,4
10008845,2829,6
10008950,2511,5
10009124,2892,5
10009426,32502,5
10009523,2562,5
10009604,2511,7
10009825,2562,5
10009876,2511,4
10010165,2830,4
10010998,29201,5
10011072,2815,5
10011188,33121,4
10011277,2511,4
10011579,29202,6
10011722,2651,4
10011749,33123,6
10011870,29201,4
10011994,2511,4
10012133,29201,5
10012265,2562,5
10012435,31012,4
10012486,2599,6
10012869,2910,7
10013512,3109,6
10013768,29201,5
10013776,2593,4
10013865,2812,6
10013938,2829,5
10014314,2822,5
10014349,2830,7
10014675,2511,4
10014861,3324,6
10014918,3012,4
10015027,33123,4
10015477,2830,5
10015884,2895,6
10015957,2813,4
10016031,2511,4
10016171,2511,6
10016309,2562,5
10016325,2712,5
10016341,33221,4
10016384,2511,4
10016570,2651,4
10017038,2550,4
10017348,2511,4
10017399,29201,5
10017542,2825,5
10017631,2561,4
10017720,2899,4
10017739,2825,7
10018123,33221,4
10018131,3011,6
10018530,2899,4
10018557,2899,4
10018808,2511,5
10019103,33123,4
10019367,2511,5
10019383,3012,4
10019421,3212,5
10019928,2521,4
10020101,2932,4
10020497,2511,6
10020683,33121,5
10020802,2511,6
10021043,2562,4
10021116,2829,4
10021191,2562,6
10021388,2512,5
10021442,2511,5
10021450,2550,6
10021906,2829,4
10021973,2511,5
